Name,New Code,GCSE_Score,Density,Eng_HH,Lone_Parent,House_Price,Income,Qual_Level4,Out_Work_Fam,Absence,Crime,Bad_Health,Happiness,Green_Space,PTAL,Cars_HH,Deprivation
Noel Park,E05000275,302.0908397,11625.0,4134,1062,350000.0,39680.0,33.8,25.625,1.934317585,180.4041386,7.4,7.317512077,11.51190997,6.064572528,0.456121343,45.37078659
Northumberland Park,E05000276,292.7917526,7605.263158,4191,1412,252500.0,33120.0,20.2,25.75757576,1.45442569,112.2510969,7.2,7.794202899,23.00183057,4.143690562,0.452880512,54.78316372
St. Ann's,E05000277,304.7010101,13318.18182,4035,796,370000.0,41990.0,35.2,21.58730159,1.860760309,67.15356774,6.6,7.606382979,19.98366732,3.928440282,0.482726939,42.03066387
Seven Sisters,E05000278,319.5840491,12307.69231,4304,853,372500.0,43330.0,29.0,15.24271845,1.424649407,72.28104535,5.6,7.939085624,21.83483345,4.675314995,0.520252025,37.6471125
Stroud Green,E05000279,334.9641975,10727.27273,4739,521,477500.0,59130.0,60.5,15.22727273,1.218555667,55.04435049,4.6,7.666666667,24.65614826,4.588836728,0.564048396,27.87945396
Tottenham Green,E05000280,292.4014286,10428.57143,4398,1059,326500.0,37600.0,29.2,26.61971831,1.622149837,118.6684073,7.4,7.288461538,10.47165807,5.840286799,0.412151899,46.55237363
Tottenham Hale,E05000281,300.8793103,7947.368421,4182,1272,251500.0,35720.0,23.1,28.13186813,1.501906275,94.33382498,6.3,7.802969858,28.97577974,4.655902226,0.508729569,45.21761314
West Green,E05000282,309.4290323,9571.428571,3853,855,350000.0,40290.0,30.6,24.09836066,1.389508393,67.5862069,7.0,6.888320267,38.18541444,4.060917998,0.538446751,41.56656624
White Hart Lane,E05000283,314.785446,7911.764706,3894,1334,267000.0,35340.0,20.7,26.97674419,1.734244306,74.9271137,7.8,7.123137019,27.89329497,3.304805762,0.626763485,49.9173675
Woodside,E05000284,300.5747899,9700.0,4132,860,345000.0,41420.0,32.9,22.15384615,1.675137112,70.93000066,6.0,7.617647059,26.78616672,4.673467955,0.55949595,38.82683912
Belmont,E05000285,356.1208,6333.333333,3178,350,435000.0,54020.0,36.4,6.557377049,0.579576108,37.22533391,3.7,7.68579932,11.03176526,1.963615278,1.504915347,10.95879813
Canons,E05000286,340.9206522,2241.071429,4219,428,402500.0,50460.0,40.8,7.936507937,0.713876843,44.03809524,5.6,7.354114656,57.32110281,2.667005222,1.250362995,12.67577518
Edgware,E05000287,334.2119658,8357.142857,2795,472,357500.0,41980.0,29.4,10.15625,0.745515846,57.19541768,4.5,7.362514172,14.88286421,2.891162147,1.141857335,18.34374709
Greenhill,E05000288,318.2225352,7352.941176,3942,502,272000.0,47230.0,46.0,14.61538462,1.042018349,130.6967403,4.2,7.31460511,7.65499111,4.564934808,0.769199839,20.38184449
Harrow on the Hill,E05000289,343.2457447,3430.555556,3906,453,343000.0,50100.0,41.8,8.076923077,0.81281362,52.63157895,4.2,7.664473684,43.36215385,3.147221753,1.048923679,15.33471008
Harrow Weald,E05000290,323.85,2489.130435,3722,569,384000.0,46390.0,32.3,14.38596491,1.204432133,50.51112447,5.5,7.425,56.30647174,2.778681546,1.259615385,18.93492998
Hatch End,E05000291,351.3263158,3257.575758,3627,310,500000.0,53990.0,41.8,8.6,0.803611111,39.84976182,4.4,7.971153846,31.04235565,2.263022192,1.440881764,11.12112039
Headstone North,E05000292,359.5341176,3075.757576,3244,284,427500.0,57100.0,43.6,5.555555556,0.531740307,38.71777542,4.1,7.111111111,49.45008691,2.708826764,1.421288515,7.916221932
Headstone South,E05000293,351.0018519,7466.666667,3386,400,322500.0,49350.0,43.0,9.821428571,0.612063492,36.86956522,4.0,7.525862069,14.36056189,3.113850529,1.084741551,13.06215682
Kenton East,E05000294,337.0461538,8615.384615,2616,469,380000.0,41060.0,27.6,11.63265306,0.706241427,33.32751701,5.3,7.5,7.243325782,2.540652591,1.20616182,18.59754385
Kenton West,E05000295,342.0862069,6250.0,2708,303,434475.0,48400.0,34.1,6.2,0.663418407,42.17129912,4.5,7.633928571,17.90289975,2.925845966,1.440882353,12.52752531
Marlborough,E05000296,322.78,7718.75,3436,584,268950.0,43080.0,35.5,16.19047619,0.942830769,61.8338558,4.7,7.367647059,8.273773206,3.845658991,0.924094708,20.4550494
Pinner,E05000297,332.2802632,3060.606061,3808,432,400000.0,56320.0,44.3,8.863636364,0.821793535,44.91863977,4.3,7.031661726,28.64326076,1.84071874,1.284187515,13.43058712
Pinner South,E05000298,368.6133333,4375.0,3661,340,520000.0,64680.0,47.5,3.928571429,0.297013721,26.47696222,3.0,7.375,22.16819367,2.167433704,1.369399185,7.716775299
Queensbury,E05000299,331.5670659,7531.25,2683,427,390000.0,43850.0,30.5,11.26984127,0.61001221,35.14480963,4.8,7.371212121,23.30739588,2.635566832,1.249518569,15.4020726
Rayners Lane,E05000300,349.8122137,7466.666667,3022,300,380000.0,51060.0,37.9,4.821428571,0.761419355,35.61403509,3.8,7.603658537,10.74500283,3.184149873,1.284623773,10.44408994
Roxbourne,E05000301,321.0435754,8600.0,3568,761,290000.0,40110.0,29.2,14.7826087,0.935488372,49.83591544,5.4,7.316666667,15.34109756,3.031316182,0.955673759,23.21101094
Roxeth,E05000302,335.3452381,7343.75,3039,473,355000.0,43940.0,28.9,10.48387097,0.758032009,57.87404867,4.2,7.037878788,18.36218779,3.007236754,1.162226326,16.10864191
